Sr no,FILM NAME,Starcast,YOR,Language,LOT,GRADING,"FULL
MOVIE",SCENE,SONG,Ultra Bollywood,Ultra Movie Parlour,Bollywood Premium,Film City HD,Ultra Filmy,Bollywood 70s 80s,2000 Ki Filmein,Filmy Deewane,Ultra Classic,Indian cinema,Ultra Action Hits,Hindi Dubbed Movies,Ultra Movie Hub,90's Bollywood,Free TV ,South Ke Khiladi,South Hindi Dubbed,Movies with Subtitle,Hindi Thriller Movies,Playmovies,Hindi Movieplex,The Kapoors,Ladies Special,Filmy Duniya,Haste Raho,Bolly Shorts,Hansi Mazaak,Bollywood Dil se,Comedy Super Kings,Ultra Movie World,Ultra Cinema,Ajay Akshay Sunny,Dharam Paaji,Zabardast Action,Bollywood clips,Mahaguru Mithun,Sunny Deol Hits,Dumdaar Villains,Govinda No 1,90s Ke Hero,The Khans,Amitabh Special,Movie Climax,King Kader Khan,90s Ki Heroine,Bhakti Mein Shakti,Ultra Sports,Gaane Naye Purane,SuperHit Gaane,Dard Bhare Songs,Gaane Ke Jukebox,Romantic Gaane,90s Filmy Gaane,Gaane 70s 80s,Rafi Ke Gaane,Ultra Bollywood Songs,Kishore Kumar Songs,Lataji Ke Gaane,Old Hindi Songs,Facebook
26,Dillagi,"Sunny Deol, Urmila Matondka, Bobby Deol & others",1999,Hindi,ZEE135,A,YES,YES,NO,YES,YES,YES,YES,YES,,,YES,,YES,,,,YES,,,,YES,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,YES,,,,,YES,,,YES,,,,,YES,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
27,Indian,"Sunny Deol, Shilpa Shetty, Danny",2001,Hindi,ZEE135,A,YES,YES,YES,YES,YES,YES,YES,YES,,YES,YES,,YES,,,,,,,,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,YES,,,,,YES,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
28,Action Replay,"Akshay Kumar, Aishwarya Rai",2010,Hindi,ZEE135,A,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,,,,,,,YES,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,YES,,YES,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
29,Baaghi,"Salman Khan, Shakti Kapoor, Naghma, Asha Sachdev, Kiran Kumar",1990,Hindi,ZEE135,A+,YES,YES,NO,YES,YES,YES,YES,YES,,,YES,,YES,YES,,,YES,,,,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,YES,,,,,,YES,YES,,,,YES,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
30,Andha Kanoon,"Rajnikanth, Amitabh Bacchan, Hema Malini, Reena Roy, Prem Chopra",1983,Hindi,ZEE135,A+,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,,YES,,,,,,,,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,YES,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
31,Military Raaj,"Mithun C., Aditya Pancholi, Madhoo , Prem Chopra",1998,Hindi,ZEE135,A,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,,YES,YES,,,YES,,,,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,YES,,YES,,,,YES,,,,,YES,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
32,Arya Ki Prem Pratigya,"Allu Arjun, Anuradha Mehta, Siva, Devi, Charan, Vidya,Rajan P Dev, Subba Raju, Venu Madhav, Devi Charan, Babloo, Jogi Brothers, Sunil Ramana Murthy",2003,HINDI DUB,ZEE135,A+,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,YES,,,,YES,YES,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,YES
33,The Fighterman Ghayal,"Jr NTR, Sameera Reddy, Sonu Sood & others",2008,HINDI DUB,ZEE135,A+,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,YES,,,,YES,YES,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,YES
34,Tapori wanted (31.10.23),"Mahesh Babu, Ileane D'Cruz, Prakash Raj",2006,HINDI DUB,ZEE135,A+,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,YES,,,,YES,YES,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,YES
35,Hum Paanch,"Mithun Chakraborty, Raj Babbar, Deepti Naval",1980,Hindi,ZEE135,A,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,,YES,,,,,,,,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
36,Kunwara Baap,"Vinod Mehra, Mehmood, Bharati, Dharmendra",1974,Hindi,ZEE135,A,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,,YES,,,,,,,,YES,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,YES,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
37,Chandramukhi,"Rajnikanth, Prabhu, Jyothika",2008,HINDI DUB,ZEE135,A,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,YES,,,,YES,YES,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,YES
38,Zamana Mujh Se Hai,"Lawrence Raghavendra, Padmapriya, Lakshmi Rai, Sandhya, Nassar, Sai Kumar, M S Bhaskar, Mouli",2010,HINDI DUB,ZEE135,A+,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,YES,,,,YES,YES,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,YES
39,The Return of Sikander,"Ravi Teja, Shreya, Prakash Raj",2008,HINDI DUB,ZEE135,A+,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,YES,,,,YES,YES,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,YES
40,Khatarnak Ishq,Vikram &others,2003,HINDI DUB,ZEE135,A+,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,YES,,,,YES,YES,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,YES
41,Dil Daar - The Arya,"Surya, Nayantara",2004,HINDI DUB,ZEE135,A+,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,YES,,,,YES,YES,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,YES
42,Suryabhai MBBS,"Soorya, Jyothika & others",2007,HINDI DUB,ZEE135,A+,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,YES,,,,YES,YES,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,YES
43,Main Faisla Karunga,"Suriya, Asin",2007,HINDI DUB,ZEE135,A+,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,YES,,,,YES,YES,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,YES
44,Jhoomo Nacho Gaao Yaaro-Hindi dubbed,"Prabhu Deva, Raghava, Lawrence & others",2006,HINDI DUB,ZEE135,A,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,YES,,,,YES,YES,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,YES
45,Bhavani-The tiger -Dub,Balakrishna & others,2006,HINDI DUB,ZEE135,A,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,YES,,,,YES,YES,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,YES
46,Tridev Pyar ki jung,"Prabhas, Trisha & others",2008,HINDI DUB,ZEE135,A,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,YES,,,,YES,YES,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,YES
47,Don Ka Muqabla,"Ajit,Sameera Reddy",2010,HINDI DUB,ZEE135,A,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,YES,,,,YES,YES,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,YES
48,Boom,"Amitabh Bachchan,Jackie Shroff, Zeenat Aman, Katrina Kaif",2003,Hindi,ZEE135,B+,YES,YES,YES,YES,YES,YES,YES,YES,,YES,YES,,YES,,,,,,,,YES,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,YES,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
49,Teen Patti,"Amitabh Bachchan, Mahesh manjrekar, Shrddha kapoor, R. Madhavan",2010,Hindi,ZEE135,B+,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,,,,,,,,YES,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,YES,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
50,Pitaah,"Sanjay Dutt, Nandita Das, Jackie Shroff",2002,Hindi,ZEE135,B+,YES,YES,YES,YES,YES,YES,YES,YES,,YES,YES,,YES,,,,,,,,YES,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
51,Judaa Hoke Bhi,"Akshay Oberoi, Aindrita Ray and Others",2022,Hindi,ZEE135,B+,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,,,,,,,,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
52,Badnaam,"Priyal Gore, AniruddhaDave and",2021,Hindi,ZEE135,C,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,,YES,,YES,,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
53,Squad,Rinzing Denzongpa and Others,2020,Hindi,ZEE135,B,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,,YES,,YES,,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
54,Happy Hardy and Heer,"Himesh Reshammiya, Sonia Mann, & Others",2020,Hindi,ZEE135,B+,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,,,,,,,,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
55,Amavas,"Sachin Joshi, Nargis Fakhri,Mona Singh",2019,Hindi,ZEE135,B+,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,,,,,,,,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
56,Ghost,"Sanaya Irani, Shivam Bhargava, Gayathri Venkatgiri, Ananya Sengupta",2019,Hindi,ZEE135,B,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,,YES,,YES,,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
57,Pal Pal Dil Ke Paas,"Karan Deol, Sahher Bambba",2019,Hindi,ZEE135,B+,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,,,,,,,,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
58,Thoda Luft Thoda Ishq,"Hiten Tejwani, Rajpal Yadav, Sanjay Mishra & Others",2015,Hindi,ZEE135,B,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,,YES,,YES,,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
59,Welcome 2 Karachi,"Arshad Warsi, Jacky Bhagnani & others",2015,Hindi,ZEE135,A,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,,,,,,,,YES,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
60,Money Back Guarantee,"Sunil Pal, Raju Srivastava",2014,Hindi,ZEE135,B+,YES,YES,YES,YES,YES,YES,YES,YES,,YES,YES,,YES,,,,,,,,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
61,The Xpose,"Himesh Reshammiya, Yo Yo Honey Singh",2014,Hindi,ZEE135,B+,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,,,,,,,,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
62,Upaasna,"Feroz Khan, Sanjay Khan, Mumtaz, Helen",1971,Hindi,ZEE135,A,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,,YES,,,,,,,,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
63,Tere Mere Phere,"Vinay Pathak,Riya Sen",2011,Hindi,ZEE135,B+,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,,,,,,,,YES,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
64,Ek-The power of one,"Bobby Deol, Shriya Saran & Nana Patekar",2009,Hindi,ZEE135,A,YES,YES,YES,YES,YES,YES,YES,YES,,YES,YES,,YES,,,,,,,,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
65,Karo na pyaar,"Malaika Arora, Akhtar, Milind Gunaji, Arun Bhadsavle",2006,Hindi,ZEE135,B,YES,YES,YES,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,,YES,,YES,,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
66,Yehi hai U turn,Dhruvika Verma & others,2006,Hindi,ZEE135,B,YES,YES,YES,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,,YES,,YES,,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
